Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen","Freie_IV_Kapazitaeten_Davon_Isolationspflichtige_Kinder","einschraenkung_beatmungsgeraet",einschraenkung_material,einschraenkung_personal,einschraenkung_raum
"2020-05-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,723,19919,10796,0,7897,NA,1016,91,86,153,NA,NA,24,17,118,64
"2020-05-28T12:15:00+02:00",DEUTSCHLAND,KINDER,76,3,618,297,0,204,NA,58,3,5,10,NA,NA,0,1,6,2
"2020-05-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,722,19847,10797,0,7809,NA,1012,96,84,153,NA,NA,24,18,117,69
"2020-05-29T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,619,305,0,210,NA,56,7,5,9,NA,NA,0,1,8,3
"2020-05-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,711,19752,10911,0,7960,NA,1002,96,86,160,NA,NA,26,18,117,67
"2020-05-30T12:15:00+02:00",DEUTSCHLAND,KINDER,77,5,601,322,0,215,NA,57,6,5,9,NA,NA,0,1,7,3
"2020-05-31T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,697,19087,11507,0,8296,NA,1004,91,88,161,NA,NA,24,16,118,68
"2020-05-31T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,602,318,0,210,NA,56,8,4,9,NA,NA,0,1,8,3
"2020-06-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,696,19022,11578,0,8320,NA,999,97,85,163,NA,NA,23,16,120,64
"2020-06-01T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,595,328,0,210,NA,55,9,4,9,NA,NA,0,1,10,2
"2020-06-02T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,691,19091,11478,0,8324,NA,1017,86,83,155,NA,NA,23,18,115,57
"2020-06-02T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,603,326,0,210,NA,54,9,4,10,NA,NA,0,1,9,4
"2020-06-03T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,631,19789,10848,0,7962,NA,1006,93,87,155,NA,NA,23,18,114,66
"2020-06-03T12:15:00+02:00",DEUTSCHLAND,KINDER,77,4,627,291,0,184,NA,49,11,8,9,NA,NA,1,1,14,6
"2020-06-04T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,595,20109,10503,0,7652,NA,1010,93,88,150,NA,NA,24,18,118,66
"2020-06-04T12:15:00+02:00",DEUTSCHLAND,KINDER,77,5,623,288,0,189,NA,50,10,7,10,NA,NA,0,1,12,6
"2020-06-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1340,584,20188,10408,0,7602,NA,996,98,92,154,NA,NA,22,17,122,69
"2020-06-05T12:15:00+02:00",DEUTSCHLAND,KINDER,76,4,609,291,0,189,NA,52,9,5,10,NA,NA,0,1,13,3
"2020-06-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,561,19913,10660,0,7699,NA,1000,100,81,160,NA,NA,22,17,125,60
"2020-06-06T12:15:00+02:00",DEUTSCHLAND,KINDER,77,1,624,291,0,184,NA,51,11,5,10,NA,NA,0,1,12,5
"2020-06-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,566,19325,11210,0,8043,NA,997,94,86,164,NA,NA,23,16,123,60
"2020-06-07T12:15:00+02:00",DEUTSCHLAND,KINDER,77,1,622,297,0,195,NA,51,10,6,10,NA,NA,0,1,13,5
"2020-06-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,543,19179,11354,0,8213,NA,1012,94,78,157,NA,NA,23,16,116,55
"2020-06-08T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,630,293,0,198,NA,49,10,6,12,NA,NA,0,1,14,6
"2020-06-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,516,20019,10642,0,7722,NA,1009,98,79,159,NA,NA,23,16,114,66
"2020-06-09T12:15:00+02:00",DEUTSCHLAND,KINDER,77,6,639,297,0,205,NA,50,9,5,13,NA,NA,0,1,11,3
"2020-06-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,483,20167,10487,0,7662,NA,994,97,88,167,NA,NA,27,16,117,69
"2020-06-10T12:15:00+02:00",DEUTSCHLAND,KINDER,78,5,656,290,0,203,NA,52,10,5,11,NA,NA,0,1,12,3
"2020-06-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,452,20093,10531,0,7647,NA,988,98,91,171,NA,NA,27,17,120,66
"2020-06-11T12:15:00+02:00",DEUTSCHLAND,KINDER,78,1,660,291,0,202,NA,52,9,6,11,NA,NA,0,1,13,3
